# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     26      8      0      0      0      0 
    0     29     13      0      0      0      0 
    0     99     50      0      0      0      0 
    0    100     49      0      0      0      0 
    0     99     50      0      0      0      0 
    0     99     50      0      0      0      0 
    0    100     49      0      0      0      0 
    0     99     50      0      0      0      0 
    0     99     49      0      0      0      0 
    0     99     49      0      0      0      0 
    0    100     50      0      0      0      0 
    0     99     50      0      0      0      0 
    0    100     49      0      0      0      0 
    0    100     49      0      0      0      0 
    0     99     47      0      0      0      0 
    0    100     49      0      0      0      0 
    0    100     49      0      0      0      0 
    0     99     50      0      0      0      0 
    0    100     50      0      0      0      0 
    0     99     50      0      0      0      0 
    0     97     43      0      0      0      0 
    0     99     50      0      0      0      0 
    0    100     50      0      0      0      0 
    0     99     50      0      0      0      0 
    0     99     50      0      0      0      0 
    0    100     50      0      0      0      0 
    0     99     46      0      0      0      0 
    0    100     50      0      0      0      0 
    0     99     50      0      0      0      0 
    0    100     49      0      0      0      0 
    0     99     50      0      0      0      0 
    0     99     50      0      0      0      0 
    0     99     48      0      0      0      0 
    0     98     50      0      0      0      0 
    0     99     50      0      0      0      0 
    0    100     49      0      0      0      0 
    0     99     50      0      0      0      0 
    0    100     50      0      0      0      0 
    0     99     49      0      0      0      0 
    0    100     49      0      0      0      0 
    0     98     50      0      0      0      0 
    0    100     50      0      0      0      0 
    0    100     50      0      0      0      0 
    0     99     50      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100     49      0      0      0      0 
    0     99     43      0      0      0      0 
    0    100     49      0      0      0      0 
    0     99     50      0      0      0      0 
    0    100     49      0      0      0      0 
    0    100     49      0      0      0      0 
    0     99     50      0      0      0      0 
